"","skip_1","skip_2","skip_3","not_skipped","context_type","skipped","feature_similarity","norm_feature_similarity","factor_similarity","norm_factor_similarity"
"1",FALSE,FALSE,FALSE,TRUE,"editorial_playlist",0,0.9858693265021,0.701269090186906,0.988307780183091,0.959385779551095
"2",FALSE,FALSE,FALSE,TRUE,"editorial_playlist",0,0.952806608104799,0.358001612297479,0.9888085766847,0.961021517758168
"3",FALSE,FALSE,FALSE,TRUE,"editorial_playlist",0,0.988164659064763,0.891777250874357,0.977675245527441,0.874010755079931
"4",FALSE,FALSE,TRUE,FALSE,"editorial_playlist",0,0.961139120174379,0.163396934940868,0.818062708792789,0.597373210071413
"5",TRUE,FALSE,FALSE,FALSE,"editorial_playlist",1,0.873340124640288,-0.308999597022755,0.987420190373013,0.951310144487007
"6",TRUE,FALSE,FALSE,FALSE,"editorial_playlist",1,0.957571666409522,-0.0625570164678898,0.989911275522593,0.966587612488772
"7",FALSE,TRUE,FALSE,FALSE,"editorial_playlist",1,0.971530553583733,0.939284828623767,0.988474524170932,0.951973367175554
"8",TRUE,FALSE,FALSE,FALSE,"editorial_playlist",1,0.949737128371877,0.730572266232629,0.990552116870471,0.981406527576829
"9",TRUE,FALSE,FALSE,FALSE,"editorial_playlist",1,0.937328023320522,0.605702981476495,0.977668461994351,0.902653215468855
"10",TRUE,FALSE,FALSE,FALSE,"editorial_playlist",1,0.932219802351818,0.221943838352285,0.973708562063928,0.939589451544206
"11",TRUE,FALSE,FALSE,FALSE,"editorial_playlist",1,0.979903614299915,0.699484520559841,0.991115610223496,0.960998744990314
"12",FALSE,FALSE,FALSE,TRUE,"editorial_playlist",0,0.985634880251659,0.569054095152994,0.990486363679789,0.964825798828977
"13",FALSE,TRUE,FALSE,FALSE,"editorial_playlist",1,0.980714338500648,0.7190038640091,0.991574575128407,0.954077330498283
"14",FALSE,TRUE,FALSE,FALSE,"editorial_playlist",1,0.921448467492912,0.1109436186534,0.992381119722277,0.969825325307233
"15",FALSE,TRUE,FALSE,FALSE,"editorial_playlist",1,0.977053125080538,0.403068622961536,0.990465212889625,0.963405422352719
"16",FALSE,TRUE,FALSE,FALSE,"editorial_playlist",1,0.984088464082117,0.529327839395968,0.934401825466832,0.808583666971572
"17",TRUE,FALSE,FALSE,FALSE,"editorial_playlist",1,0.985067486802351,0.272097809994313,0.989175122736621,0.959863732835771
"18",TRUE,FALSE,FALSE,FALSE,"editorial_playlist",1,0.975050876517774,0.302526290617489,0.997259380554564,0.986325791963558
"19",FALSE,FALSE,TRUE,FALSE,"editorial_playlist",0,0.984040453558943,0.839974214152887,0.921341116821926,0.919525593548123
"20",FALSE,FALSE,FALSE,TRUE,"editorial_playlist",0,0.968100247312391,0.0634795550195373,0.91086583680807,0.895853780784561
"21",FALSE,TRUE,FALSE,FALSE,"editorial_playlist",1,0.993058136913252,0.518690798014413,0.375420280673028,0.195291489202945
"22",FALSE,FALSE,FALSE,TRUE,"editorial_playlist",0,0.96326562929394,-0.144315598323762,0.910130644205564,0.874217533502336
"23",FALSE,FALSE,FALSE,TRUE,"editorial_playlist",0,0.831177758882516,-0.786029925979878,0.830000981426317,0.747565485717121
"24",FALSE,FALSE,FALSE,TRUE,"editorial_playlist",0,0.968826610285244,0.675395293004685,0.974196757665482,0.955013929983954
"25",FALSE,FALSE,FALSE,TRUE,"editorial_playlist",0,0.909520863754459,-0.434880571425727,0.948718032914623,0.906195246514061
"26",TRUE,FALSE,FALSE,FALSE,"editorial_playlist",1,0.875131917702907,-0.370980501360713,0.9675107453495,0.907275489773082
"27",TRUE,FALSE,FALSE,FALSE,"editorial_playlist",1,0.860137440832077,-0.207617516685325,0.865955293426123,0.690740699719922
"28",FALSE,FALSE,FALSE,TRUE,"editorial_playlist",0,0.875131917702907,-0.370980501360713,0.9675107453495,0.907275489773082
"29",FALSE,TRUE,FALSE,FALSE,"editorial_playlist",1,0.975229508815985,0.765384563826657,0.990949120343753,0.975390772026608
"30",FALSE,FALSE,TRUE,FALSE,"editorial_playlist",0,0.936530113318883,-0.442711438568206,0.892904944494548,0.844662978690342
"31",TRUE,FALSE,FALSE,FALSE,"editorial_playlist",1,0.96522510221111,0.632857141536141,0.862471710117809,0.50768656924663
"32",TRUE,FALSE,FALSE,FALSE,"editorial_playlist",1,0.976124236010702,0.19580566520842,0.955958190684283,0.948231806525422
"33",TRUE,FALSE,FALSE,FALSE,"editorial_playlist",1,0.955588231484363,0.796773045179346,0.974645048012746,0.93360170335725
"34",FALSE,TRUE,FALSE,FALSE,"editorial_playlist",1,0.955588231484363,0.796773045179346,0.974645048012746,0.93360170335725
"35",TRUE,FALSE,FALSE,FALSE,"editorial_playlist",1,0.964029601921453,-0.0318400804434735,0.980468418260575,0.962064543267186
"36",FALSE,TRUE,FALSE,FALSE,"editorial_playlist",1,0.942523888921371,0.0147307033412062,0.909222015354895,0.825673353670591
"37",FALSE,TRUE,FALSE,FALSE,"editorial_playlist",1,0.955588231484363,0.796773045179346,0.974645048012746,0.93360170335725
"38",FALSE,FALSE,TRUE,FALSE,"editorial_playlist",0,0.964029601921453,-0.0318400804434735,0.980468418260575,0.962064543267186
